index,year,package,className,direction
88,2017,base.trunk.src.org.hsqldb.types,ArrayType,From
89,2017,base.trunk.src.org.hsqldb.types,ArrayType,To
90,2019,hsqldb.src.org.hsqldb.util,HsqldbTransferHelper,From
91,2019,hsqldb.src.org.hsqldb.util,HsqldbTransferHelper,To
92,2011,base.trunk.src.org.hsqldb.jdbc,JDBCClob,From
93,2011,base.trunk.src.org.hsqldb.jdbc,JDBCClob,To
94,2011,base.trunk.src.org.hsqldb.persist,LobStoreRAFile,From
95,2011,base.trunk.src.org.hsqldb.persist,LobStoreRAFile,To
96,2010,base.trunk.src.org.hsqldb.persist,TextCache,From
97,2010,base.trunk.src.org.hsqldb.persist,TextCache,To
98,2011,base.trunk.src.org.hsqldb.util,ConnectionDialog,From
99,2011,base.trunk.src.org.hsqldb.util,ConnectionDialog,To
100,2010,base.trunk.src.org.hsqldb.store,ReusableObjectCache,From
101,2010,base.trunk.src.org.hsqldb.store,ReusableObjectCache,To
102,2010,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,From
103,2010,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,To
104,2017,base.trunk.src.org.hsqldb.util,Transfer,From
105,2017,base.trunk.src.org.hsqldb.util,Transfer,To
106,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntValueHashMap,From
107,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntValueHashMap,To
108,2014,base.trunk.src.org.hsqldb.test,TestMerge,From
109,2014,base.trunk.src.org.hsqldb.test,TestMerge,To
110,2010,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,From
111,2010,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,To
112,2010,base.trunk.src.org.hsqldb.lib,HsqlDeque,From
113,2010,base.trunk.src.org.hsqldb.lib,HsqlDeque,To
114,2014,base.trunk.src.org.hsqldb.types,DTIType,From
115,2014,base.trunk.src.org.hsqldb.types,DTIType,To
116,2014,base.trunk.src.org.hsqldb.persist,Log,From
117,2014,base.trunk.src.org.hsqldb.persist,Log,To
118,2010,base.trunk.src.org.hsqldb.lib,OrderedHashSet,From
119,2010,base.trunk.src.org.hsqldb.lib,OrderedHashSet,To
120,2007,base.trunk.src.org.hsqldb.jdbc,jdbcCallableStatement,From
121,2007,base.trunk.src.org.hsqldb.jdbc,jdbcCallableStatement,To
122,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,RowAVLDisk,From
123,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,RowAVLDisk,To
124,2013,base.trunk.src.org.hsqldb.test,AllSimpleTests,From
125,2013,base.trunk.src.org.hsqldb.test,AllSimpleTests,To
126,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSchemaParse,From
127,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSchemaParse,To
128,2011,base.trunk.src.org.hsqldb.jdbc,JDBCClobClient,From
129,2011,base.trunk.src.org.hsqldb.jdbc,JDBCClobClient,To
130,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.scriptio,ScriptWriterBase,From
131,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.scriptio,ScriptWriterBase,To
132,2017,base.trunk.src.org.hsqldb,ParserCommand,From
133,2017,base.trunk.src.org.hsqldb,ParserCommand,To
134,2017,base.trunk.src.org.hsqldb,StatementSchema,From
135,2017,base.trunk.src.org.hsqldb,StatementSchema,To
136,2014,base.trunk.src.org.hsqldb.rowio,RowInputBinary180,From
137,2014,base.trunk.src.org.hsqldb.rowio,RowInputBinary180,To
138,2010,base.trunk.src.org.hsqldb.test,TestGroupByHaving,From
139,2010,base.trunk.src.org.hsqldb.test,TestGroupByHaving,To
140,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterText,From
141,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterText,To
142,2014,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,From
143,2014,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,To
144,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,ParserRoutine,From
145,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,ParserRoutine,To
146,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,Database,From
147,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,Database,To
148,2014,base.trunk.src.org.hsqldb.jdbc,JDBCBlobFile,From
149,2014,base.trunk.src.org.hsqldb.jdbc,JDBCBlobFile,To
150,2010,base.trunk.src.org.hsqldb.persist,LobStoreRAFile,From
151,2010,base.trunk.src.org.hsqldb.persist,LobStoreRAFile,To
152,2010,base.trunk.src.org.hsqldb.jdbc,JDBCClob,From
153,2010,base.trunk.src.org.hsqldb.jdbc,JDBCClob,To
154,2011,base.trunk.src.org.hsqldb.lib,HashMap,From
155,2011,base.trunk.src.org.hsqldb.lib,HashMap,To
156,2019,hsqldb.src.org.hsqldb.test,TestSqlPersistent,From
157,2019,hsqldb.src.org.hsqldb.test,TestSqlPersistent,To
158,2013,base.trunk.src.org.hsqldb.server,Server,From
159,2013,base.trunk.src.org.hsqldb.server,Server,To
160,2011,base.trunk.src.org.hsqldb.test,TestGroupByHaving,From
161,2011,base.trunk.src.org.hsqldb.test,TestGroupByHaving,To
162,2012,base.trunk.src.org.hsqldb.scriptio,ScriptReaderText,From
163,2012,base.trunk.src.org.hsqldb.scriptio,ScriptReaderText,To
164,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSubQueriesInPreparedStatements,From
165,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestSubQueriesInPreparedStatements,To
166,2019,hsqldb.src.org.hsqldb.persist,RowStoreAVLDiskData,From
167,2019,hsqldb.src.org.hsqldb.persist,RowStoreAVLDiskData,To
168,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.index,NodeAVL,From
169,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.index,NodeAVL,To
170,2013,base.trunk.src.org.hsqldb,TransactionManager2PL,From
171,2013,base.trunk.src.org.hsqldb,TransactionManager2PL,To
172,2007,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,From
173,2007,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,To
174,2019,hsqldb.src.org.hsqldb.test,TestHarness,From
175,2019,hsqldb.src.org.hsqldb.test,TestHarness,To
176,2014,base.trunk.src.org.hsqldb.persist,LockFile,From
177,2014,base.trunk.src.org.hsqldb.persist,LockFile,To
178,2010,base.trunk.src.org.hsqldb.jdbc,JDBCClobClient,From
179,2010,base.trunk.src.org.hsqldb.jdbc,JDBCClobClient,To
180,2014,base.trunk.src.org.hsqldb.jdbc,JDBCCallableStatement,From
181,2014,base.trunk.src.org.hsqldb.jdbc,JDBCCallableStatement,To
182,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputBase,From
183,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputBase,To
184,2014,base.trunk.src.org.hsqldb,ExpressionColumnAccessor,From
185,2014,base.trunk.src.org.hsqldb,ExpressionColumnAccessor,To
186,2011,base.trunk.src.org.hsqldb,NumberSequence,From
187,2011,base.trunk.src.org.hsqldb,NumberSequence,To
188,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.test,TestSubselect,From
189,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.test,TestSubselect,To
190,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.persist,Log,From
191,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.persist,Log,To
192,2013,base.trunk.src.org.hsqldb,RangeVariableJoined,From
193,2013,base.trunk.src.org.hsqldb,RangeVariableJoined,To
194,2014,base.trunk.src.org.hsqldb.index,IndexAVLMemory,From
195,2014,base.trunk.src.org.hsqldb.index,IndexAVLMemory,To
196,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.util.preprocessor,Token,From
197,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.util.preprocessor,Token,To
198,2017,base.trunk.src.org.hsqldb.cmdline,SqltoolRB,From
199,2017,base.trunk.src.org.hsqldb.cmdline,SqltoolRB,To
200,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,QuerySpecification,From
201,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,QuerySpecification,To
202,2012,base.trunk.src.org.hsqldb.util.preprocessor,Document,From
203,2012,base.trunk.src.org.hsqldb.util.preprocessor,Document,To
204,2019,hsqldb.src.org.hsqldb.auth,AuthBeanMultiplexer,From
205,2019,hsqldb.src.org.hsqldb.auth,AuthBeanMultiplexer,To
206,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,StatementSchema,From
207,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,StatementSchema,To
208,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,From
209,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,To
210,2011,base.trunk.src.org.hsqldb.lib,OrderedHashSet,From
211,2011,base.trunk.src.org.hsqldb.lib,OrderedHashSet,To
212,2019,hsqldb.src.org.hsqldb.navigator,RowSetNavigatorClient,From
