versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2019,base.trunk.src.org.hsqldb.lib,KMPSearchAlgorithm,278,23,211,16
2010,base.trunk.src.org.hsqldb.server,HsqlSocketFactorySecure,171,2,16,8
2012,base.trunk.src.org.hsqldb.lib,InputStreamWrapper,53,2,23,12
2008,base.trunk.src.org.hsqldb.persist,ScaledRAFile,353,28,181,11
2014,base.trunk.src.org.hsqldb,RangeVariableResolver,929,9,49,7
2015,base.trunk.src.org.hsqldb.persist,RAFile,332,5,30,7
2010,base.trunk.src.org.hsqldb.lib,LongValueHashMap,123,15,99,14
2012,base.trunk.src.org.hsqldb,TableWorks,871,12,76,11
2008,base.trunk.src.org.hsqldb.types,BlobDataMemory,120,2,13,7
2019,base.trunk.src.org.hsqldb.util,DatabaseManager,958,31,291,42
2008,base.trunk.src.org.hsqldb.lib,MultiValueHashMap,112,14,135,18
2008,base.trunk.src.org.hsqldb.test,TestLibSpeed,166,5,55,24
2008,base.trunk.src.org.hsqldb.util.preprocessor,Token,62,4,25,7
2010,base.trunk.src.org.hsqldb.test,TestHarness,179,6,32,6
2015,base.trunk.src.org.hsqldb,StatementCommand,1092,31,195,22
2015,base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,116,8,46,6
2015,base.trunk.src.org.hsqldb,RowAVL,72,1,7,7
2010,base.trunk.src.org.hsqldb.util,ConnectionDialog,223,5,35,11
2015,base.trunk.src.org.hsqldb,TableDerived,293,1,5,5
2012,base.trunk.src.org.hsqldb.persist,LockFile,638,10,65,11
2019,base.trunk.src.org.hsqldb.lib,HsqlTaskQueue,87,1,6,6
2007,base.trunk.src.org.hsqldb.rowio,RowInputBase,183,3,25,10
2015,base.trunk.src.org.hsqldb.lib.tar,TarReaderMain,40,1,7,7
2013,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,121,20,221,22
2009,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,147,6,66,17
2012,base.trunk.src.org.hsqldb.scriptio,ScriptWriterText,205,1,6,6
2013,base.trunk.src.org.hsqldb.lib,HsqlDeque,203,13,90,14
2008,base.trunk.src.org.hsqldb.test,TestQuotes,93,2,11,6
2014,base.trunk.src.org.hsqldb.rowio,RowInputBinary180,44,1,6,6
2012,base.trunk.src.org.hsqldb,StatementInsert,118,2,14,7
2017,base.trunk.src.org.hsqldb,ParserCommand,1546,21,196,17
2017,base.trunk.src.org.hsqldb.rowio,RowOutputBinary180,45,1,6,6
2012,base.trunk.src.org.hsqldb,TransactionManagerMV2PL,288,22,259,25
2010,base.trunk.src.org.hsqldb.test,TestStoredProcedure,361,11,84,14
2010,base.trunk.src.org.hsqldb,Scanner,1776,40,268,11
2014,base.trunk.src.org.hsqldb.util,Grid,278,8,77,20
2014,base.trunk.src.org.hsqldb,RangeVariableJoined,207,2,26,15
2017,base.trunk.src.org.hsqldb.util,TransferCommon,67,2,10,5
2007,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,170,5,31,8
2015,base.trunk.src.org.hsqldb.test,JDBCBench,807,47,466,38
2019,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,300,5,44,11
2011,base.trunk.src.org.hsqldb.index,IndexAVL,1188,56,451,20
2015,base.trunk.src.org.hsqldb.util,Grid,278,8,77,20
2009,base.trunk.src.org.hsqldb.types,Type,625,9,66,12
2012,base.trunk.src.org.hsqldb.test,TestViewAsterisks,349,4,30,10
2019,base.trunk.src.org.hsqldb.jdbc,JDBCDataSource,80,5,42,11
2013,base.trunk.src.org.hsqldb.jdbc,JDBCArray,146,7,75,17
2019,base.trunk.src.org.hsqldb.persist,BitMapCachedObject,53,2,12,6
2008,base.trunk.src.org.hsqldb.test,TestAllTypes,297,10,57,9
2019,base.trunk.src.org.hsqldb.auth,AuthUtils,53,2,13,8
2011,base.trunk.src.org.hsqldb.util,ConnectionDialog,223,5,35,11
2007,base.trunk.src.org.hsqldb,DDLParser,2127,59,426,18
2019,base.trunk.src.org.hsqldb.index,NodeAVL,151,6,39,10
2011,base.trunk.src.org.hsqldb.test,TestHarness,179,6,32,6
2014,base.trunk.src.org.hsqldb,RangeVariable,1245,15,103,15
2015,base.trunk.src.org.hsqldb.test,TestCascade,98,2,10,5
2011,base.trunk.src.org.hsqldb.lib,LongValueHashMap,123,15,99,14
2013,base.trunk.src.org.hsqldb.util,ConnectionDialogCommon,191,2,12,6
2011,base.trunk.src.org.hsqldb.server,HsqlSocketFactorySecure,171,2,16,8
2010,base.trunk.src.org.hsqldb.index,IndexAVL,1188,56,447,20
2012,base.trunk.src.org.hsqldb,SchemaObjectSet,398,15,108,12
