year,originPackage,originClass,originLocation,destPackage,destClass,destLocation,duplicateSize
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestBug778213,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestBug778213.java|(5278,318,<173,0>,<183,34>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestJDBCSavepoints.java|(16266,319,<482,0>,<494,34>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(3514,285,<110,0>,<128,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobType.java|(3453,285,<106,0>,<124,9>)",13
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(23434,117,<622,0>,<629,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(67511,117,<1681,0>,<1688,5>)",5
2007,base.trunk.src.org.hsqldb.util,PostgresTransferHelper,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/PostgresTransferHelper.java|(3939,1106,<113,0>,<141,74>)",base.trunk.src.org.hsqldb.util,OracleTransferHelper,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/OracleTransferHelper.java|(3346,1106,<91,0>,<119,74>)",21
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,OtherType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/OtherType.java|(3758,178,<134,0>,<143,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(4921,178,<170,0>,<179,9>)",6
2007,base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4763,290,<180,0>,<191,41>)",base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(5015,290,<191,0>,<202,41>)",8
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/HashMap.java|(4805,248,<181,0>,<191,41>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4098,248,<150,0>,<160,41>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcDriverTest.java|(1911,223,<45,0>,<56,32>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,JdbcSuite,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/JdbcSuite.java|(1914,390,<46,0>,<65,32>)",8
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcRowIdTest.java|(3911,162,<122,0>,<130,1>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcResultSetTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcResultSetTest.java|(80403,162,<3149,0>,<3157,1>)",5
2007,base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4143,341,<153,0>,<167,41>)",base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(3685,341,<131,0>,<145,41>)",10
